Date,Time,Open,High,Low,Close,Volume
2015.01.02,0:00,1185.71,1194.88,1166.93,1187.32,99890
2015.01.05,0:00,1186.84,1207.34,1177.53,1204.55,127636
2015.01.06,0:00,1202.66,1222.95,1201.54,1218.15,122757
2015.01.07,0:00,1218.43,1218.53,1208.86,1210.64,102608
2015.01.08,0:00,1210.92,1216.58,1204.49,1208.42,79994
2015.01.09,0:00,1208.38,1221.31,1205.58,1220.66,99663
2015.01.12,0:00,1223.81,1235.78,1217.39,1233.3,85166
2015.01.13,0:00,1232.98,1244.07,1227.16,1230.39,143111
2015.01.14,0:00,1230.91,1244.29,1224.91,1228.62,173927
2015.01.15,0:00,1228.81,1266.63,1225.91,1262.11,216966
2015.01.16,0:00,1262.5,1281.86,1254.83,1275.19,134555
2015.01.19,0:00,1279.91,1281.36,1271.94,1276.03,59335
2015.01.20,0:00,1275.28,1296.97,1273.92,1294.31,161988
2015.01.21,0:00,1294.16,1305.19,1284.46,1293.19,163169
2015.01.22,0:00,1292.21,1307.49,1278.56,1301.33,153598
2015.01.23,0:00,1301.24,1301.96,1284.2,1293.49,89307
2015.01.26,0:00,1294.8,1299.09,1275.71,1281.17,137396
2015.01.27,0:00,1281.11,1297.38,1272.01,1291.93,141733
2015.01.28,0:00,1291.86,1293.6,1279.58,1284.09,124054
2015.01.29,0:00,1283.58,1285.87,1251.82,1256.86,191478
2015.01.30,0:00,1258.72,1284.57,1257.05,1284.22,135553
2015.02.02,0:00,1281.38,1283.24,1266.2,1273.61,113470
2015.02.03,0:00,1274.43,1285.8,1255.34,1260.23,118567
2015.02.04,0:00,1260.69,1272.59,1256.57,1268.78,139263
2015.02.05,0:00,1269.47,1273.94,1256.18,1264.38,104085
2015.02.06,0:00,1265.08,1268.64,1228.17,1235.35,125294
2015.02.09,0:00,1236.39,1243.53,1234.06,1238.61,62776
2015.02.10,0:00,1237.9,1245.8,1230.86,1233.11,80545
2015.02.11,0:00,1233.76,1238.65,1216.37,1217.81,72187
2015.02.12,0:00,1218.38,1232.81,1218.03,1221.45,89319
2015.02.13,0:00,1223.04,1234.87,1222.64,1228.55,77343
2015.02.16,0:00,1228.34,1236.65,1227.77,1231.68,46267
2015.02.17,0:00,1230.31,1233.83,1203.66,1209.25,80392
2015.02.18,0:00,1209.18,1213.31,1197.47,1212.26,110505
2015.02.19,0:00,1212.6,1222.84,1205.28,1206.43,120140
2015.02.20,0:00,1207.18,1215.23,1198.14,1200.77,118194
2015.02.23,0:00,1202.75,1210.16,1188.13,1201.48,112733
2015.02.24,0:00,1201.92,1204.41,1190.26,1200.08,90754
2015.02.25,0:00,1200.78,1211.81,1200.78,1204.81,64530
2015.02.26,0:00,1204.18,1219.89,1203.45,1209.08,80613
2015.02.27,0:00,1209.03,1219.29,1204.38,1210.83,66844
2015.03.02,0:00,1214.01,1223.16,1204.55,1206.5,70656
2015.03.03,0:00,1205.91,1214.69,1195.33,1203.48,69962
2015.03.04,0:00,1203.53,1208.89,1198.13,1200.04,60747
2015.03.05,0:00,1200.34,1209.38,1196.46,1198.05,55504
2015.03.06,0:00,1198.42,1200.61,1163.67,1165.31,91823
2015.03.09,0:00,1169.63,1175.23,1165.76,1166.94,40920
2015.03.10,0:00,1167.25,1170.41,1154.88,1161.59,76164
2015.03.11,0:00,1161.72,1165.14,1147.44,1155.15,63902
2015.03.12,0:00,1155.12,1166.47,1148.51,1153.5,71694
2015.03.13,0:00,1153.35,1161.61,1151.32,1155.2,50274
2015.03.16,0:00,1157.57,1164.01,1150.25,1154.58,45663
2015.03.17,0:00,1153.97,1159.72,1142.59,1149.31,57683
2015.03.18,0:00,1148.92,1175.45,1145.85,1167.45,89786
2015.03.19,0:00,1166.81,1177.73,1159.45,1170.89,82123
2015.03.20,0:00,1170.53,1187.81,1168.65,1183.14,69545
2015.03.23,0:00,1184.2,1191.62,1179.28,1189.39,63749
2015.03.24,0:00,1189.54,1194.95,1185.41,1193.13,57990
2015.03.25,0:00,1192.82,1199.62,1186.52,1195.21,47005
2015.03.26,0:00,1195.38,1219.7,1194.38,1204.59,73555
2015.03.27,0:00,1203.62,1206.05,1192.42,1198.42,55658
2015.03.30,0:00,1198.37,1198.94,1182.25,1185.9,51824
2015.03.31,0:00,1185.57,1190.67,1178.34,1183.29,54558
2015.04.01,0:00,1183.52,1208.56,1180.78,1203.85,64137
2015.04.02,0:00,1203.79,1207.18,1194.83,1202.39,49868
2015.04.06,0:00,1216.5,1224.18,1213.43,1214.61,44520
2015.04.07,0:00,1214.4,1215.71,1207.29,1208.95,37934
2015.04.08,0:00,1208.42,1212.25,1197.41,1202.34,63401
2015.04.09,0:00,1202.53,1203.1,1192.57,1194.64,45718
2015.04.10,0:00,1194.17,1210.62,1193.19,1208.57,48674
2015.04.13,0:00,1206.57,1209.45,1196.32,1198,46060
2015.04.14,0:00,1198.97,1201.38,1183.88,1192.54,67190
2015.04.15,0:00,1192.68,1204.54,1188.82,1202.38,61038
2015.04.16,0:00,1202.42,1209.12,1194.62,1198.32,69082
2015.04.17,0:00,1198.63,1207.75,1197.31,1204.34,54744
2015.04.20,0:00,1204.45,1209.07,1191.28,1195.72,52385
2015.04.21,0:00,1196.49,1204.17,1193.04,1202.4,38081
2015.04.22,0:00,1202.25,1204.81,1185.62,1186.5,54901
2015.04.23,0:00,1187.22,1197.93,1184.24,1193.73,48335
2015.04.24,0:00,1193.55,1195.91,1175.01,1178.25,52359
2015.04.27,0:00,1179.54,1207.11,1178.44,1201.91,76285
2015.04.28,0:00,1202.19,1214.95,1199.13,1212.03,73582
2015.04.29,0:00,1211.92,1213.97,1201.31,1204.52,78249
2015.04.30,0:00,1205.13,1207.1,1176.98,1184.09,92608
2015.05.01,0:00,1184.38,1185.13,1169.8,1178.39,48847
2015.05.04,0:00,1178.66,1192.75,1177.65,1188.2,47640
2015.05.05,0:00,1188.41,1199.94,1185.79,1193.17,56149
2015.05.06,0:00,1193.13,1197.74,1188.35,1191.53,66342
2015.05.07,0:00,1191.68,1192.87,1178.93,1184.41,65828
2015.05.08,0:00,1184.62,1193.84,1181.78,1188.36,68098
2015.05.11,0:00,1189.59,1191.77,1178.99,1183.97,54995
2015.05.12,0:00,1183.53,1197.24,1180.79,1193.94,66430
2015.05.13,0:00,1193.12,1218.92,1191.32,1215.71,80287
