Date,Time,Open,High,Low,Close,Volume,
2014.07.25,0:00,1.34615,1.34745,1.342,1.34285,65914,
2014.07.28,0:00,1.34295,1.34428,1.34258,1.34385,46083,
2014.07.29,0:00,1.34385,1.34433,1.34031,1.3408,64511,
2014.07.30,0:00,1.34079,1.34142,1.33658,1.3394,102931,
2014.07.31,0:00,1.33939,1.33994,1.33705,1.33872,79567,
2014.08.01,0:00,1.33871,1.34437,1.33774,1.34232,93829,
2014.08.04,0:00,1.34263,1.343,1.34084,1.34211,48768,
2014.08.05,0:00,1.3421,1.34237,1.33571,1.33703,69847,
2014.08.06,0:00,1.33704,1.33867,1.3332,1.33829,80977,
2014.08.07,0:00,1.33829,1.33927,1.3336,1.33608,89526,
2014.08.08,0:00,1.33605,1.34315,1.33424,1.34103,90765,
2014.08.11,0:00,1.34047,1.34075,1.33794,1.33836,43916,
2014.08.12,0:00,1.33836,1.3385,1.33348,1.33664,57132,
2014.08.13,0:00,1.33665,1.34142,1.33411,1.33623,76681,
2014.08.14,0:00,1.33623,1.34066,1.33474,1.33628,75521,
2014.08.15,0:00,1.33629,1.34107,1.33577,1.33953,84292,
2014.08.18,0:00,1.33904,1.3398,1.33518,1.33606,49594,
2014.08.19,0:00,1.33605,1.33622,1.3312,1.33171,72690,
2014.08.20,0:00,1.33171,1.33232,1.32541,1.32572,85290,
2014.08.21,0:00,1.32573,1.32874,1.32409,1.32812,68349,
2014.08.22,0:00,1.32811,1.32955,1.32196,1.32429,88864,
2014.08.25,0:00,1.31898,1.32093,1.31826,1.31896,56042,
2014.08.26,0:00,1.31896,1.32136,1.31636,1.31676,72362,
2014.08.27,0:00,1.31675,1.32088,1.31515,1.31927,83776,
2014.08.28,0:00,1.31927,1.32197,1.31585,1.31829,91758,
2014.08.29,0:00,1.31829,1.3195,1.31327,1.31383,79827,
2014.09.01,0:00,1.31273,1.31445,1.3118,1.31266,42264,
2014.09.02,0:00,1.31267,1.31357,1.31092,1.31318,75204,
2014.09.03,0:00,1.31315,1.31589,1.3121,1.31474,85041,
2014.09.04,0:00,1.31474,1.31529,1.29189,1.29346,152087,
2014.09.05,0:00,1.29349,1.29885,1.29209,1.29491,103170,
2014.09.08,0:00,1.29534,1.2958,1.28804,1.2899,96571,
2014.09.09,0:00,1.2899,1.29563,1.28583,1.29393,128127,
2014.09.10,0:00,1.29393,1.29617,1.28826,1.29153,139181,
2014.09.11,0:00,1.29155,1.29507,1.28961,1.29223,121861,
2014.09.12,0:00,1.29221,1.29783,1.29077,1.29493,115821,
2014.09.15,0:00,1.29671,1.29684,1.29074,1.29396,87735,
2014.09.16,0:00,1.29395,1.29941,1.29211,1.29562,116065,
2014.09.17,0:00,1.29561,1.29803,1.28342,1.28437,145556,
2014.09.18,0:00,1.28437,1.29295,1.28331,1.29148,125099,
2014.09.19,0:00,1.29148,1.29278,1.28292,1.2831,113159,
2014.09.22,0:00,1.28268,1.28667,1.28152,1.28452,98579,
2014.09.23,0:00,1.28451,1.29001,1.28415,1.28474,106696,
2014.09.24,0:00,1.28473,1.28629,1.27731,1.2777,109461,
2014.09.25,0:00,1.27772,1.27822,1.26953,1.27504,146492,
2014.09.26,0:00,1.27504,1.27597,1.26757,1.26842,118186,
2014.09.29,0:00,1.26812,1.27137,1.26625,1.26876,109454,
2014.09.30,0:00,1.26878,1.27012,1.25699,1.26298,145191,
2014.10.01,0:00,1.26296,1.26385,1.25824,1.26165,143691,
2014.10.02,0:00,1.26164,1.26979,1.26127,1.26684,189507,
2014.10.03,0:00,1.26684,1.26708,1.24996,1.2511,134845,
2014.10.06,0:00,1.25103,1.26734,1.25079,1.2652,125763,
2014.10.07,0:00,1.26518,1.2681,1.25824,1.26635,172844,
2014.10.08,0:00,1.26635,1.27479,1.26213,1.27291,194698,
2014.10.09,0:00,1.27291,1.27903,1.26626,1.26882,229043,
2014.10.10,0:00,1.26882,1.27148,1.26043,1.26187,170084,
2014.10.13,0:00,1.2628,1.27672,1.2626,1.27397,149574,
2014.10.14,0:00,1.27398,1.27477,1.26388,1.2657,153507,
2014.10.15,0:00,1.2657,1.28859,1.26236,1.28145,296586,
2014.10.16,0:00,1.28143,1.28436,1.27044,1.28029,288654,
2014.10.17,0:00,1.28025,1.28357,1.27427,1.27589,153156,
2014.10.20,0:00,1.27538,1.28156,1.27301,1.27938,127903,
2014.10.21,0:00,1.27939,1.28394,1.27102,1.27112,160335,
2014.10.22,0:00,1.27116,1.27387,1.2636,1.26435,159744,
2014.10.23,0:00,1.26436,1.26755,1.26125,1.26444,150654,
2014.10.24,0:00,1.26446,1.26946,1.26338,1.26682,132359,
2014.10.27,0:00,1.26732,1.27225,1.26646,1.26964,114222,
